start,count
"(1050, 213, 1504)","(40, 60, 52)"
"(1824, 420, 1055)","(62, 48, 41)"
"(1259, 326, 1828)","(35, 38, 93)"
"(892, 412, 1242)","(78, 49, 32)"
"(1106, 387, 2002)","(57, 30, 73)"
"(967, 326, 1263)","(41, 80, 37)"
"(433, 356, 2538)","(31, 49, 80)"
"(1230, 182, 1590)","(52, 45, 53)"
"(74, 509, 2722)","(54, 44, 52)"
"(1545, 337, 1868)","(63, 28, 70)"
"(2393, 213, 1565)","(60, 59, 35)"
"(985, 640, 1352)","(57, 45, 48)"
"(912, 214, 286)","(58, 40, 54)"
"(1903, 584, 819)","(59, 63, 33)"
"(2139, 899, 3115)","(44, 35, 80)"
"(307, 447, 2542)","(42, 42, 70)"
"(967, 326, 1263)","(41, 80, 37)"
"(1128, 215, 791)","(31, 90, 45)"
"(1304, 132, 1147)","(39, 51, 63)"
"(1258, 819, 2477)","(43, 55, 52)"
"(830, 434, 2239)","(25, 61, 81)"
"(514, 264, 1345)","(38, 54, 60)"
"(695, 869, 2272)","(51, 54, 45)"
"(1088, 177, 780)","(60, 37, 56)"
"(1080, 61, 1094)","(62, 49, 41)"
"(1272, 340, 1720)","(88, 39, 36)"
"(869, 460, 1313)","(69, 34, 53)"
"(1919, 585, 813)","(33, 55, 69)"
"(634, 726, 820)","(48, 43, 59)"
"(1680, 169, 1414)","(62, 45, 44)"
"(602, 275, 1717)","(72, 47, 37)"
"(2043, 435, 1080)","(45, 47, 59)"
"(613, 728, 2176)","(72, 56, 31)"
"(1357, 365, 1303)","(25, 66, 74)"
"(1122, 428, 2123)","(62, 24, 82)"
"(267, 371, 1356)","(29, 85, 49)"
"(524, 392, 909)","(40, 51, 59)"
"(863, 206, 1086)","(35, 45, 79)"
"(2274, 397, 307)","(49, 31, 81)"
"(176, 44, 710)","(49, 47, 54)"
"(821, 713, 142)","(38, 68, 48)"
"(1847, 295, 2617)","(67, 32, 57)"
"(1143, 247, 1682)","(63, 54, 37)"
"(1703, 260, 1434)","(49, 40, 63)"
"(1297, 265, 2417)","(70, 65, 27)"
"(1350, 404, 2421)","(64, 56, 35)"
"(921, 623, 1441)","(31, 73, 55)"
"(13, 318, 1350)","(41, 74, 41)"
"(1923, 597, 227)","(62, 52, 39)"
"(2093, 259, 1935)","(57, 51, 43)"
"(2373, 548, 2319)","(45, 73, 38)"
"(1025, 672, 1310)","(42, 39, 75)"
"(714, 372, 833)","(42, 93, 31)"
"(1634, 28, 1554)","(45, 67, 41)"
"(241, 841, 1701)","(46, 35, 76)"
"(745, 373, 279)","(43, 70, 41)"
"(1384, 597, 1063)","(82, 43, 35)"
"(1361, 372, 1319)","(49, 38, 65)"
"(381, 252, 385)","(49, 50, 51)"
"(1070, 349, 1375)","(63, 58, 34)"
"(1075, 656, 1359)","(53, 58, 40)"
"(1105, 308, 747)","(45, 58, 48)"
"(745, 815, 1758)","(49, 69, 37)"
"(874, 640, 1523)","(63, 42, 46)"
"(1056, 338, 1003)","(68, 57, 32)"
"(786, 166, 3161)","(66, 33, 56)"
"(1573, 751, 40)","(70, 47, 37)"
"(847, 294, 1611)","(29, 50, 85)"
"(938, 31, 2422)","(38, 51, 63)"
"(1537, 341, 1871)","(43, 50, 58)"
"(1293, 787, 1127)","(83, 48, 31)"
"(1269, 706, 2518)","(33, 61, 61)"
"(1304, 72, 1357)","(75, 22, 73)"
"(1179, 476, 919)","(72, 58, 29)"
"(847, 373, 1712)","(48, 41, 63)"
"(1054, 209, 1480)","(69, 28, 65)"
"(1440, 447, 369)","(28, 52, 83)"
"(994, 729, 1976)","(96, 34, 38)"
"(961, 612, 588)","(34, 62, 58)"
"(963, 852, 257)","(32, 56, 69)"
"(1058, 196, 1467)","(43, 63, 45)"
"(966, 338, 1284)","(53, 45, 52)"
"(1489, 345, 1675)","(32, 61, 62)"
"(517, 393, 1176)","(70, 58, 30)"
"(544, 87, 2033)","(37, 46, 73)"
"(837, 190, 1127)","(58, 23, 91)"
"(1678, 471, 1581)","(42, 60, 49)"
"(1104, 302, 1766)","(48, 53, 48)"
"(1448, 703, 1039)","(52, 28, 85)"
"(751, 610, 1839)","(52, 93, 26)"
"(1744, 407, 1471)","(60, 46, 44)"
"(789, 367, 2066)","(42, 40, 74)"
"(1132, 239, 1651)","(81, 37, 41)"
"(892, 383, 1187)","(55, 38, 60)"
"(744, 289, 2054)","(55, 51, 44)"
"(1543, 219, 1568)","(66, 46, 40)"
"(760, 371, 233)","(33, 60, 63)"
"(551, 6, 1525)","(57, 41, 52)"
"(1718, 139, 1404)","(38, 83, 39)"
"(1163, 581, 3024)","(32, 61, 64)"
"(843, 208, 1166)","(54, 49, 47)"
"(927, 466, 458)","(50, 47, 52)"
"(1405, 462, 2091)","(32, 54, 70)"
"(1348, 477, 1443)","(42, 43, 69)"
"(536, 320, 1708)","(54, 52, 44)"
"(1250, 540, 324)","(63, 69, 28)"
"(1119, 584, 1425)","(88, 47, 30)"
"(171, 513, 1184)","(47, 97, 27)"
"(1606, 545, 2547)","(31, 54, 74)"
"(825, 324, 1142)","(51, 48, 50)"
"(1017, 322, 2017)","(25, 67, 73)"
"(2287, 97, 1961)","(59, 30, 70)"
"(833, 374, 1250)","(74, 44, 38)"
"(1136, 389, 161)","(60, 56, 37)"
"(722, 258, 1794)","(40, 55, 56)"
"(75, 251, 969)","(88, 59, 24)"
"(1446, 691, 1350)","(72, 61, 28)"
"(101, 697, 2867)","(44, 77, 36)"
"(932, 327, 1612)","(51, 32, 76)"
"(977, 378, 1221)","(30, 54, 77)"
"(817, 371, 1179)","(60, 29, 71)"
"(2370, 590, 13)","(48, 43, 60)"
"(1274, 422, 710)","(46, 70, 38)"
"(2017, 788, 3358)","(31, 46, 86)"
"(31, 331, 1362)","(59, 35, 60)"
"(546, 396, 1259)","(51, 51, 47)"
"(817, 374, 1206)","(40, 52, 60)"
"(1365, 381, 1367)","(74, 60, 28)"
"(1489, 447, 1065)","(66, 59, 32)"
"(526, 402, 1286)","(52, 46, 52)"
"(1241, 489, 703)","(46, 82, 33)"
"(1532, 523, 1592)","(32, 57, 69)"
"(1046, 351, 2038)","(90, 31, 44)"
"(779, 465, 2288)","(67, 61, 30)"
"(993, 282, 1256)","(49, 70, 36)"
"(1554, 383, 1859)","(69, 68, 26)"
"(104, 479, 2703)","(70, 26, 68)"
"(1086, 319, 1365)","(47, 59, 45)"
"(1156, 418, 1874)","(58, 48, 44)"
"(754, 514, 2395)","(53, 26, 88)"
"(1343, 130, 1143)","(51, 52, 47)"
"(436, 350, 2510)","(31, 45, 91)"
"(882, 573, 1421)","(53, 42, 56)"
"(476, 387, 2083)","(62, 33, 60)"
"(1651, 282, 1401)","(76, 35, 46)"
"(1415, 606, 987)","(35, 56, 63)"
"(626, 733, 2167)","(47, 46, 57)"
"(549, 150, 1634)","(75, 27, 61)"
"(632, 785, 2120)","(67, 45, 41)"
"(946, 624, 1511)","(24, 80, 65)"
"(1919, 585, 813)","(33, 55, 69)"
"(1129, 54, 984)","(45, 62, 44)"
"(319, 202, 1477)","(45, 47, 59)"
"(998, 357, 2806)","(39, 31, 102)"
"(73, 350, 1300)","(89, 45, 31)"
"(702, 280, 386)","(36, 71, 48)"
"(524, 416, 2219)","(107, 42, 27)"
"(471, 405, 1301)","(104, 34, 35)"
"(1754, 448, 1458)","(37, 41, 83)"
"(1699, 555, 737)","(57, 47, 46)"
"(1602, 850, 3329)","(75, 44, 37)"
"(149, 270, 1211)","(83, 44, 34)"
"(934, 375, 1729)","(30, 90, 46)"
"(697, 279, 369)","(24, 74, 68)"
"(104, 479, 2703)","(70, 26, 68)"
"(351, 299, 116)","(61, 23, 88)"
"(780, 98, 2237)","(50, 51, 49)"
"(1656, 221, 1445)","(39, 83, 38)"
"(545, 321, 1716)","(62, 48, 41)"
"(499, 430, 2117)","(34, 50, 71)"
"(223, 723, 948)","(24, 79, 66)"
"(846, 454, 1324)","(59, 67, 31)"
"(1304, 768, 1546)","(64, 39, 50)"
"(2428, 420, 2826)","(84, 33, 44)"
"(1134, 381, 2166)","(58, 30, 70)"
"(259, 483, 2160)","(53, 36, 65)"
"(920, 415, 1268)","(34, 76, 47)"
"(1347, 370, 1346)","(74, 73, 23)"
"(773, 341, 2050)","(58, 67, 32)"
"(1521, 430, 1029)","(64, 52, 37)"
"(1060, 298, 1789)","(42, 78, 38)"
"(560, 152, 1597)","(63, 37, 53)"
"(1152, 535, 2600)","(67, 24, 77)"
"(800, 707, 137)","(90, 50, 27)"
"(1082, 253, 1382)","(57, 59, 37)"
"(217, 326, 2751)","(41, 34, 87)"
"(1720, 264, 1429)","(27, 59, 76)"
"(899, 451, 1259)","(53, 29, 79)"
"(1515, 319, 1223)","(53, 57, 41)"
"(695, 256, 1810)","(88, 39, 36)"
"(783, 364, 202)","(55, 43, 52)"
"(1627, 648, 1108)","(79, 67, 23)"
"(1757, 478, 1493)","(37, 76, 44)"
"(1477, 468, 1499)","(43, 42, 68)"
"(209, 307, 2739)","(28, 62, 71)"
"(1012, 583, 1106)","(51, 49, 50)"
"(87, 355, 3346)","(35, 107, 33)"
"(544, 544, 461)","(53, 60, 39)"
"(1450, 416, 1034)","(97, 33, 38)"
"(1922, 564, 92)","(91, 32, 42)"
"(620, 530, 2331)","(25, 79, 62)"
"(1105, 288, 769)","(82, 27, 57)"
"(2281, 141, 2482)","(75, 42, 39)"
"(1584, 761, 41)","(80, 38, 41)"
"(397, 4, 2398)","(49, 58, 44)"
"(1079, 378, 147)","(41, 75, 41)"
"(970, 554, 393)","(37, 37, 89)"
"(783, 372, 2094)","(86, 27, 53)"
"(912, 669, 1427)","(65, 51, 37)"
"(858, 525, 1142)","(97, 42, 30)"
"(1922, 595, 226)","(39, 38, 82)"
"(69, 119, 3)","(42, 61, 48)"
"(1665, 18, 641)","(34, 65, 56)"
"(1548, 876, 149)","(56, 43, 51)"
"(1999, 106, 1861)","(51, 60, 40)"
"(1137, 559, 1846)","(39, 78, 40)"
"(1043, 421, 2059)","(71, 60, 29)"
"(955, 38, 1144)","(50, 63, 39)"
"(1835, 309, 2639)","(41, 47, 64)"
"(385, 611, 201)","(73, 24, 70)"
"(1433, 390, 1670)","(58, 32, 66)"
"(1125, 470, 1118)","(63, 52, 38)"
"(1535, 404, 1590)","(58, 35, 61)"
"(1554, 383, 1859)","(69, 68, 26)"
"(1473, 454, 1535)","(37, 83, 41)"
"(155, 577, 2388)","(41, 41, 73)"
"(314, 740, 2053)","(52, 49, 49)"
"(1816, 89, 1165)","(59, 59, 36)"
"(1012, 371, 1571)","(36, 32, 107)"
"(1009, 649, 1313)","(40, 60, 51)"
"(514, 427, 1547)","(58, 35, 62)"
"(1537, 341, 1871)","(43, 50, 58)"
"(1120, 753, 140)","(42, 71, 42)"
"(611, 679, 633)","(84, 41, 36)"
"(1136, 386, 2165)","(65, 23, 84)"
"(827, 342, 1157)","(61, 31, 66)"
"(1079, 412, 1902)","(56, 33, 67)"
"(990, 320, 1354)","(32, 70, 55)"
"(209, 310, 2753)","(32, 46, 84)"
"(2367, 628, 2927)","(86, 30, 47)"
"(1080, 97, 1090)","(55, 33, 69)"
"(667, 545, 1997)","(33, 74, 51)"
"(598, 243, 2978)","(48, 35, 75)"
"(1654, 264, 1399)","(64, 59, 32)"
"(1465, 402, 1717)","(33, 96, 38)"
"(779, 301, 751)","(27, 85, 54)"
"(498, 403, 2118)","(42, 67, 44)"
"(476, 298, 1346)","(50, 45, 55)"
"(722, 258, 1794)","(40, 55, 56)"
"(45, 247, 952)","(87, 40, 35)"
"(712, 678, 771)","(74, 37, 45)"
"(2026, 685, 2369)","(68, 40, 46)"
"(2270, 382, 317)","(41, 52, 58)"
"(343, 216, 1236)","(29, 69, 61)"
"(1424, 288, 1784)","(54, 57, 40)"
"(893, 346, 1608)","(61, 35, 57)"
"(1028, 368, 2056)","(58, 59, 36)"
"(838, 473, 1309)","(67, 36, 51)"
"(291, 403, 1372)","(62, 57, 35)"
"(1654, 16, 668)","(53, 73, 32)"
"(1079, 669, 692)","(41, 53, 57)"
"(892, 412, 1242)","(78, 49, 32)"
"(1426, 345, 1714)","(29, 46, 91)"
"(2302, 409, 309)","(39, 90, 35)"
"(1365, 750, 1536)","(45, 52, 53)"
"(831, 539, 2420)","(58, 49, 44)"
"(281, 738, 1329)","(30, 87, 47)"
"(249, 391, 358)","(60, 25, 81)"
"(815, 341, 1151)","(50, 40, 61)"
"(471, 421, 1530)","(36, 41, 84)"
"(1005, 54, 1818)","(68, 36, 51)"
"(2417, 574, 1401)","(80, 53, 29)"
"(813, 315, 1150)","(68, 29, 62)"
"(1060, 298, 1789)","(42, 78, 38)"
"(586, 390, 14)","(41, 67, 45)"
"(499, 430, 2117)","(34, 50, 71)"
"(2390, 606, 2903)","(37, 57, 59)"
"(567, 414, 1538)","(34, 65, 56)"
"(1703, 260, 1434)","(49, 40, 63)"
"(1293, 787, 1127)","(83, 48, 31)"
"(1061, 415, 123)","(65, 32, 60)"
"(686, 444, 2515)","(57, 61, 35)"
"(2287, 413, 296)","(37, 58, 58)"
"(303, 241, 1480)","(58, 51, 42)"
"(1137, 559, 1846)","(39, 78, 40)"
"(1591, 370, 2700)","(61, 46, 44)"
"(2390, 606, 2903)","(37, 57, 59)"
"(791, 840, 2031)","(50, 55, 44)"
"(592, 176, 489)","(37, 57, 58)"
"(1690, 579, 730)","(57, 37, 59)"
"(873, 359, 1081)","(32, 33, 116)"
"(601, 236, 2999)","(45, 53, 52)"
"(1310, 783, 2270)","(57, 35, 62)"
"(1694, 477, 978)","(53, 59, 39)"
"(1522, 371, 1603)","(56, 71, 31)"
"(1979, 372, 2494)","(54, 45, 51)"
"(1408, 739, 394)","(41, 51, 60)"
"(1824, 420, 1055)","(62, 48, 41)"
"(1805, 429, 1044)","(59, 56, 37)"
"(1192, 353, 1722)","(88, 51, 28)"
"(1914, 273, 2802)","(31, 53, 74)"
"(761, 468, 2362)","(48, 38, 68)"
"(2457, 306, 3335)","(59, 70, 30)"
"(562, 266, 1708)","(68, 50, 37)"
"(317, 817, 945)","(72, 28, 61)"
"(892, 412, 1242)","(78, 49, 32)"
"(109, 359, 2940)","(60, 37, 56)"
"(1757, 478, 1493)","(37, 76, 44)"
"(971, 666, 2584)","(63, 43, 46)"
"(859, 768, 3397)","(54, 82, 28)"
"(1075, 40, 1095)","(43, 67, 43)"
"(1086, 319, 1365)","(47, 59, 45)"
"(1544, 220, 1564)","(72, 53, 33)"
"(1462, 554, 1592)","(33, 52, 72)"
"(307, 74, 2482)","(68, 40, 45)"
"(1783, 478, 1579)","(34, 48, 74)"
"(1264, 277, 2437)","(68, 64, 28)"
"(1067, 13, 3036)","(36, 78, 44)"
"(956, 218, 1504)","(77, 25, 63)"
"(947, 41, 2217)","(47, 45, 58)"
"(2047, 675, 2355)","(47, 57, 46)"
"(83, 112, 1491)","(41, 42, 70)"
"(1241, 489, 703)","(46, 82, 33)"
"(949, 299, 1641)","(37, 74, 45)"
"(2306, 547, 2287)","(77, 38, 43)"
"(1469, 290, 1203)","(53, 44, 54)"
"(654, 453, 2471)","(58, 39, 55)"
"(1545, 337, 1868)","(63, 28, 70)"
"(1155, 423, 2334)","(55, 55, 41)"
"(1142, 738, 170)","(64, 49, 39)"
"(1143, 488, 1091)","(42, 47, 62)"
"(1558, 243, 1517)","(57, 30, 74)"
"(1544, 220, 1564)","(72, 53, 33)"
"(1143, 283, 778)","(41, 54, 55)"
"(760, 414, 863)","(55, 48, 47)"
"(18, 114, 83)","(30, 94, 43)"
"(1570, 471, 1691)","(58, 37, 57)"
"(1012, 583, 1106)","(51, 49, 50)"
"(510, 376, 1295)","(62, 70, 28)"
"(1437, 456, 1323)","(41, 53, 58)"
"(909, 655, 501)","(62, 29, 69)"
"(857, 417, 2199)","(33, 64, 58)"
"(886, 368, 1716)","(65, 32, 60)"
"(791, 840, 2031)","(50, 55, 44)"
"(1526, 370, 1617)","(31, 73, 55)"
"(652, 494, 2273)","(34, 55, 66)"
"(1659, 231, 581)","(57, 87, 25)"
"(1753, 51, 1728)","(52, 51, 47)"
"(1499, 275, 1192)","(35, 40, 87)"
"(1754, 448, 1458)","(37, 41, 83)"
"(1266, 187, 142)","(36, 44, 78)"
"(232, 518, 2097)","(39, 54, 60)"
"(1318, 496, 1414)","(75, 61, 27)"
"(1134, 381, 2166)","(58, 30, 70)"
"(1132, 52, 1006)","(47, 79, 34)"
"(1046, 338, 2013)","(38, 90, 37)"
"(1038, 588, 1400)","(50, 38, 64)"
"(1850, 265, 691)","(40, 67, 46)"
"(820, 200, 1076)","(75, 35, 47)"
"(909, 655, 501)","(62, 29, 69)"
"(708, 460, 854)","(76, 37, 45)"
"(652, 437, 2341)","(56, 70, 31)"
"(1003, 268, 1267)","(46, 63, 42)"
"(1161, 429, 1870)","(60, 38, 54)"
"(893, 129, 909)","(53, 45, 52)"
"(1282, 232, 622)","(53, 51, 46)"
"(1605, 533, 2536)","(29, 64, 67)"
"(1720, 264, 1429)","(27, 59, 76)"
"(836, 724, 151)","(67, 48, 39)"
"(791, 840, 2031)","(50, 55, 44)"
"(1021, 441, 1908)","(42, 63, 47)"
"(1352, 374, 1352)","(63, 65, 30)"
"(307, 670, 1168)","(65, 58, 32)"
"(1046, 352, 1784)","(76, 22, 72)"
"(276, 422, 1372)","(62, 36, 55)"
"(1260, 226, 622)","(100, 49, 25)"
"(1861, 264, 2678)","(56, 79, 28)"
"(1010, 328, 2014)","(54, 49, 47)"
"(849, 397, 943)","(40, 73, 42)"
"(246, 666, 526)","(53, 45, 53)"
"(971, 668, 153)","(69, 29, 62)"
"(316, 232, 1513)","(30, 71, 58)"
"(1564, 348, 1631)","(25, 67, 74)"
"(1046, 352, 1784)","(76, 22, 72)"
"(974, 538, 441)","(38, 36, 91)"
"(1842, 267, 688)","(52, 44, 54)"
"(230, 173, 485)","(39, 54, 59)"
"(1546, 406, 1630)","(66, 63, 30)"
"(1089, 332, 3115)","(37, 84, 40)"
"(983, 586, 1314)","(37, 73, 46)"
"(834, 147, 2879)","(64, 34, 56)"
"(2017, 788, 3358)","(31, 46, 86)"
"(305, 423, 2561)","(30, 61, 68)"
"(626, 733, 2167)","(47, 46, 57)"
"(1759, 70, 1691)","(31, 61, 65)"
"(1568, 824, 998)","(43, 41, 70)"
"(1375, 106, 325)","(56, 41, 53)"
"(1298, 411, 689)","(51, 58, 41)"
"(1443, 237, 1218)","(69, 24, 74)"
"(987, 353, 2794)","(59, 41, 51)"
"(686, 280, 391)","(66, 42, 44)"
"(1576, 457, 1617)","(42, 51, 57)"
"(799, 254, 1270)","(56, 30, 72)"
"(1447, 374, 1644)","(36, 52, 67)"
"(510, 187, 986)","(26, 58, 82)"
"(1056, 391, 206)","(70, 32, 54)"
"(349, 610, 1292)","(91, 41, 33)"
"(977, 378, 1221)","(30, 54, 77)"
"(244, 748, 2804)","(85, 50, 29)"
"(1975, 405, 996)","(45, 64, 43)"
"(586, 146, 1606)","(45, 48, 57)"
"(2393, 213, 1565)","(60, 59, 35)"
"(1106, 117, 326)","(58, 42, 50)"
"(872, 628, 1536)","(54, 64, 36)"
"(931, 332, 1598)","(46, 53, 52)"
"(711, 376, 828)","(29, 51, 83)"
"(132, 477, 1128)","(38, 61, 53)"
"(247, 369, 1352)","(61, 62, 33)"
"(499, 455, 2162)","(86, 33, 44)"
"(1022, 242, 969)","(58, 37, 58)"
"(1082, 253, 1382)","(57, 59, 37)"
"(565, 247, 888)","(31, 77, 52)"
"(317, 817, 945)","(72, 28, 61)"
"(1954, 599, 753)","(48, 44, 59)"
"(642, 464, 2511)","(50, 47, 53)"
"(994, 729, 1976)","(96, 34, 38)"
"(870, 126, 2876)","(52, 37, 64)"
"(1487, 517, 1622)","(38, 65, 50)"
"(923, 638, 591)","(37, 54, 61)"
"(1162, 437, 1884)","(62, 63, 32)"
"(1368, 891, 619)","(50, 41, 61)"
"(1298, 537, 256)","(64, 66, 29)"
"(87, 355, 3346)","(35, 107, 33)"
"(1015, 576, 1107)","(71, 59, 30)"
"(675, 659, 1450)","(67, 25, 72)"
"(1008, 142, 3147)","(48, 52, 49)"
"(1598, 529, 347)","(56, 44, 50)"
"(1560, 243, 1507)","(67, 22, 82)"
"(1374, 339, 1373)","(69, 62, 29)"
"(1087, 334, 1368)","(41, 70, 43)"
"(82, 603, 615)","(44, 38, 75)"
"(455, 390, 1306)","(73, 28, 59)"
"(857, 417, 2199)","(33, 64, 58)"
"(244, 748, 2804)","(85, 50, 29)"
"(2302, 409, 309)","(39, 90, 35)"
"(1636, 224, 1438)","(64, 74, 26)"
"(1659, 231, 581)","(57, 87, 25)"
"(1056, 338, 1003)","(68, 57, 32)"
"(1405, 462, 2091)","(32, 54, 70)"
"(1746, 127, 994)","(64, 45, 43)"
"(874, 241, 3191)","(49, 55, 46)"
"(927, 466, 458)","(50, 47, 52)"
"(581, 420, 2377)","(48, 76, 34)"
"(193, 161, 2435)","(70, 57, 31)"
"(1058, 196, 1467)","(43, 63, 45)"
"(1088, 73, 3048)","(61, 53, 38)"
"(759, 294, 701)","(31, 77, 52)"
"(1795, 266, 112)","(28, 47, 94)"
"(1235, 153, 1578)","(58, 52, 41)"
"(714, 517, 2414)","(50, 51, 49)"
"(546, 396, 1259)","(51, 51, 47)"
"(1460, 426, 1677)","(56, 72, 31)"
"(307, 74, 2482)","(68, 40, 45)"
"(311, 20, 575)","(55, 30, 74)"
"(581, 418, 2027)","(66, 23, 80)"
"(258, 766, 2795)","(75, 41, 40)"
"(1263, 350, 2966)","(51, 33, 73)"
"(1230, 571, 3019)","(33, 68, 54)"
"(1548, 405, 1365)","(68, 47, 39)"
"(2312, 354, 1046)","(32, 65, 60)"
"(351, 57, 2468)","(39, 37, 87)"
"(1025, 644, 1361)","(53, 36, 64)"
"(1006, 374, 551)","(50, 40, 62)"
"(395, 41, 2399)","(62, 32, 62)"
"(1625, 605, 2004)","(69, 45, 39)"
"(537, 467, 2619)","(33, 44, 84)"
"(717, 389, 854)","(66, 48, 39)"
"(692, 525, 1624)","(76, 36, 44)"
"(2276, 463, 1993)","(49, 45, 56)"
"(3, 29, 989)","(73, 39, 44)"
"(1568, 537, 2263)","(42, 55, 54)"
"(1484, 347, 1638)","(36, 61, 57)"
"(1004, 648, 1363)","(74, 34, 49)"
"(880, 385, 1229)","(56, 41, 54)"
"(1742, 362, 212)","(54, 63, 37)"
"(1230, 328, 1697)","(54, 27, 84)"
"(1727, 483, 1568)","(51, 86, 28)"
"(815, 421, 2204)","(71, 46, 38)"
"(1332, 16, 2106)","(62, 38, 53)"
"(2118, 387, 473)","(47, 32, 82)"
"(57, 565, 625)","(49, 57, 44)"
"(1068, 384, 1896)","(29, 61, 71)"
"(1223, 196, 1991)","(22, 75, 75)"
"(1590, 448, 1383)","(38, 47, 70)"
"(1091, 114, 307)","(87, 34, 42)"
"(755, 418, 830)","(49, 50, 51)"
"(635, 311, 1686)","(63, 31, 63)"
"(249, 270, 1577)","(33, 82, 46)"
"(695, 869, 2272)","(51, 54, 45)"
"(814, 303, 713)","(57, 54, 39)"
"(1343, 87, 1418)","(62, 53, 37)"
"(1154, 396, 2146)","(71, 54, 32)"
"(551, 6, 1525)","(57, 41, 52)"
"(948, 472, 479)","(46, 91, 30)"
"(249, 270, 1577)","(33, 82, 46)"
"(307, 74, 2482)","(68, 40, 45)"
"(644, 247, 1739)","(43, 60, 48)"
"(101, 697, 2867)","(44, 77, 36)"
"(769, 394, 1743)","(22, 80, 69)"
"(228, 512, 3162)","(49, 55, 46)"
"(369, 260, 376)","(22, 69, 82)"
"(1515, 515, 1595)","(26, 65, 72)"
"(1142, 296, 785)","(28, 50, 88)"
"(772, 832, 2042)","(90, 44, 31)"
"(1459, 679, 1091)","(61, 74, 27)"
"(522, 16, 1201)","(72, 43, 40)"
"(1550, 364, 1629)","(41, 53, 57)"
"(1090, 170, 803)","(55, 78, 29)"
"(1014, 522, 2242)","(62, 49, 41)"
"(889, 355, 1586)","(51, 42, 58)"
"(1263, 350, 2966)","(51, 33, 73)"
"(1018, 14, 1820)","(61, 46, 44)"
"(665, 823, 3215)","(25, 59, 84)"
"(1133, 54, 976)","(31, 59, 67)"
"(233, 598, 518)","(36, 56, 62)"
"(787, 543, 2454)","(62, 44, 45)"
"(395, 41, 2399)","(62, 32, 62)"
"(1980, 368, 2493)","(44, 49, 57)"
"(727, 308, 2002)","(75, 26, 63)"
"(1661, 580, 1093)","(51, 76, 32)"
"(540, 317, 1706)","(56, 50, 44)"
"(1922, 595, 226)","(39, 38, 82)"
"(259, 369, 2468)","(73, 75, 23)"
"(1297, 318, 1691)","(40, 56, 55)"
"(1628, 187, 1407)","(55, 71, 32)"
"(1252, 289, 1740)","(52, 89, 27)"
"(2460, 236, 1571)","(73, 52, 32)"
"(1052, 645, 1333)","(43, 52, 55)"
"(1131, 215, 1374)","(37, 60, 56)"
"(1744, 96, 1001)","(46, 80, 34)"
"(934, 375, 1729)","(30, 90, 46)"
"(154, 338, 134)","(54, 41, 56)"
"(56, 248, 986)","(41, 54, 55)"
"(441, 258, 1363)","(58, 36, 60)"
"(236, 509, 2108)","(27, 63, 72)"
"(164, 504, 1190)","(73, 48, 35)"
"(138, 894, 1596)","(43, 50, 57)"
"(1274, 319, 1842)","(42, 45, 65)"
"(731, 430, 860)","(67, 70, 26)"
"(717, 0, 2517)","(53, 64, 36)"
"(1665, 18, 641)","(34, 65, 56)"
"(1397, 630, 1023)","(47, 57, 47)"
"(45, 247, 952)","(87, 40, 35)"
"(1442, 467, 1507)","(50, 73, 34)"
"(666, 548, 2016)","(44, 64, 44)"
"(857, 417, 2199)","(33, 64, 58)"
"(900, 386, 1153)","(42, 57, 52)"
"(1103, 30, 1078)","(43, 99, 29)"
"(1022, 310, 1762)","(61, 30, 67)"
"(1121, 717, 183)","(63, 67, 29)"
"(1954, 599, 753)","(48, 44, 59)"
"(1008, 142, 3147)","(48, 52, 49)"
"(996, 692, 2600)","(49, 45, 56)"
"(1603, 563, 343)","(36, 64, 54)"
"(1106, 117, 326)","(58, 42, 50)"
"(669, 19, 1482)","(25, 62, 79)"
"(1048, 349, 988)","(60, 41, 51)"
"(632, 44, 1469)","(84, 24, 60)"
"(1419, 296, 1730)","(56, 43, 51)"
"(1467, 342, 811)","(56, 45, 48)"
"(934, 404, 1262)","(56, 47, 47)"
"(751, 383, 249)","(37, 57, 60)"
"(1544, 424, 1637)","(69, 34, 52)"
"(1273, 324, 2350)","(23, 71, 74)"
"(1468, 587, 1591)","(39, 44, 73)"
"(2038, 430, 1090)","(43, 69, 42)"
"(1819, 23, 3075)","(33, 47, 79)"
"(1010, 21, 1841)","(77, 34, 47)"
"(524, 392, 909)","(40, 51, 59)"
"(772, 831, 1787)","(52, 53, 45)"
"(1238, 479, 715)","(37, 82, 41)"
"(1312, 381, 317)","(39, 64, 49)"
"(1714, 429, 1381)","(57, 42, 52)"
"(855, 418, 953)","(85, 33, 44)"
"(163, 534, 1178)","(68, 54, 34)"
"(837, 446, 2247)","(57, 30, 72)"
"(433, 356, 2538)","(31, 49, 80)"
"(926, 513, 514)","(58, 40, 54)"
"(1476, 414, 1709)","(31, 80, 49)"
"(867, 359, 1743)","(70, 70, 25)"
"(659, 113, 2215)","(89, 36, 38)"
"(2131, 463, 1642)","(59, 30, 69)"
"(644, 486, 2301)","(45, 48, 57)"
"(1451, 676, 1347)","(73, 62, 27)"
"(1021, 441, 1908)","(42, 63, 47)"
"(2417, 574, 1401)","(80, 53, 29)"
"(2341, 62, 1777)","(58, 34, 62)"
"(24, 322, 1331)","(27, 59, 79)"
"(1172, 772, 818)","(32, 63, 61)"
"(1993, 415, 971)","(39, 52, 61)"
"(1742, 447, 1260)","(52, 50, 47)"
